SECTION,ID,QUESTION,TYPE,OPTIONS / FORMAT,ANSWER,NOTES / IMPACT ON FLOW
,,,,,,
HEADER,,,,,Block: msic_a0 / pixel_hh,
HEADER,,,,,Designer (owner):,
HEADER,,,,,Date:,
HEADER,,,,,Corner / process node:,
HEADER,,,,,Reviewed by (RNM engineer):,
,,,,,,
SECTION A — OPERATING CONDITIONS,,,,,,"Gates OP sweep ranges for TB1-TB3. All fields required before any simulation is run."
A,A1,What is the minimum column input voltage?,real [V],,,"Sets lower bound of SF transfer curve sweep (TB1). If < 0V, check body effect (flag to B2)."
A,A2,What is the nominal column input voltage?,real [V],,,"Center of TB1 sweep and default DC bias for TB3 OP extraction."
A,A3,What is the maximum column input voltage?,real [V],,,"Sets upper bound of TB1 sweep. If > vddc − |VSF_OFF|, SF may clip — flag to B2."
A,A4,What is the nominal vgcsp bias voltage?,real [V],,,"Critical: directly seeds VSF_OFF extraction in TB3. Must match intended operating point."
A,A5,What is the nominal vgcsn bias voltage?,real [V],,,"Tail current source bias. Affects ROUT and gain_SF extraction."
A,A6,What is the pixel supply voltage vddc?,real [V],,,"Sets upper rail for TB1-TB3 sweeps and switch RON calculation."
A,A7,What is the row supply voltage vddr?,real [V],,,"Sets switch vgs and affects RON. Used in TB2 settling sweep."
A,A8,What is the minimum operating temperature?,real [°C],,,"If != 27°C, add temperature corners to TB3. Enables dVSF_OFF/dT extraction."
A,A9,What is the maximum operating temperature?,real [°C],,,"Upper bound for temperature sweep in TB3. Determines if thermal coefficient is needed."
A,A10,What is the nominal ph_smp pulse width (track window)?,real [ns],,,"Required to set TB2 transient duration. If 5τ > ph_smp width, flag settling issue."
,,,,,,
SECTION B — FUNCTIONAL INTENT,,,,,,"Gates which equations to extract and at what model order. Complete after Section A."
B,B1,Is the source follower intended to be a unity-gain buffer or is there a designed-in gain < 1?,choice,"Unity gain (gain ≈ 1) | Intentional gain < 1 | Unknown — extract from simulation",,"""Intentional gain < 1"" → add gain term to equation table. ""Unknown"" → TB1 curve fit decides."
B,B2,Does VSF_OFF vary significantly across the column input range?,choice,"Stable across range (linear model sufficient) | Varies — specify threshold voltage | Unknown — let curve fit decide",,"""Varies"" → quadratic or piecewise fit in Phase 4. ""Unknown"" → auto-escalate if linear residual > D2 budget."
B,B2a,"If VSF_OFF varies, at what column voltage does the nonlinearity become significant?",real [V] or N/A,,,"Used to set piecewise breakpoint in Phase 4 Python fit."
B,B3,How should charge injection from the sampling switch be treated?,choice,"Absorb into a constant VSF_OFF offset | Model explicitly (varies with V(column)) | Negligible",,"""Explicitly"" → TB2 must sweep column value at switch-off edge and fit ΔV_charge_injection(col)."
B,B4,Is hold-mode droop (leakage off sample node) significant within the readout window?,choice,"Negligible for readout timing | Significant — must be modeled",,"""Significant"" → add droop_rate [mV/µs] parameter to equation table. Extracted from TB2 long hold."
